Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF
11,5,RL,70.0,11200,1,1,3,Lvl,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,4,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,3,5,906.0,6,0.0,134.0,1040.0,GasA,0,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,6,0,3,Detchd,1965.0,3,1.0,384.0,5,5,2,0,0,0,0,0,0,3,4,None,0,4,2,WD,Normal,2080.0
12,10,RL,85.0,11924,1,1,0,Lvl,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,9,4,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,0,4,PConc,0,4,3,2,998.0,6,0.0,177.0,1175.0,GasA,0,1,SBrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,0,11,6,2,2,BuiltIn,2005.0,0,3.0,736.0,5,5,2,147,21,0,0,0,0,3,4,None,0,9,0,New,Partial,3499.0
13,5,RL,72.0,12968,1,1,1,Lvl,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,4,CBlock,4,4,3,0,737.0,6,0.0,175.0,912.0,GasA,4,1,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,3,4,6,0,3,Detchd,1962.0,3,1.0,352.0,5,5,2,140,0,0,0,176,0,3,4,None,0,11,2,WD,Normal,1824.0
14,5,RL,91.0,10652,1,1,0,Lvl,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,4,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,2,4,PConc,2,4,0,6,0.0,6,0.0,1494.0,1494.0,GasA,0,1,SBrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,2,7,6,1,2,Attchd,2006.0,2,3.0,840.0,5,5,2,160,33,0,0,0,0,3,4,None,0,10,1,New,Partial,2988.0
15,5,RL,73.0,10920,1,1,0,Lvl,Corner,0,NAmes,Norm,Norm,1Fam,1Story,6,4,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,4,CBlock,4,4,3,1,733.0,6,0.0,520.0,1253.0,GasA,4,1,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,3,5,6,1,1,Attchd,1960.0,2,1.0,352.0,5,5,2,0,213,176,0,0,0,3,1,None,0,7,2,WD,Normal,2506.0
16,8,RM,51.0,6120,1,1,3,Lvl,Corner,0,BrkSide,Norm,Norm,1Fam,1.5Unf,7,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,4,4,3,6,0.0,6,0.0,832.0,832.0,GasA,0,1,FuseA,854,0,0,854,0.0,0.0,1,0,2,1,3,5,6,0,3,Detchd,1991.0,3,2.0,576.0,5,5,2,48,112,0,0,0,0,3,0,None,0,9,1,WD,Normal,1686.0
17,5,RL,73.0,11241,1,1,0,Lvl,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,6,6,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,4,CBlock,4,4,3,0,578.0,6,0.0,426.0,1004.0,GasA,0,1,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,6,1,5,Attchd,1970.0,0,2.0,480.0,5,5,2,0,0,0,0,0,0,3,4,Shed,700,5,4,WD,Normal,2008.0
18,15,RL,72.0,10791,1,1,3,Lvl,Inside,0,Sawyer,Norm,Norm,Duplex,1Story,4,4,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,Slab,3,2,4,4,0.0,4,0.0,0.0,0.0,GasA,4,1,SBrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,3,6,6,0,3,CarPort,1967.0,3,2.0,516.0,5,5,2,0,0,0,0,0,0,3,4,Shed,500,1,0,WD,Normal,1296.0
19,5,RL,66.0,13695,1,1,3,Lvl,Inside,0,SawyerW,RRAe,Norm,1Fam,1Story,5,4,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,3,2,646.0,6,0.0,468.0,1114.0,GasA,0,1,SBrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,2,6,6,0,3,Detchd,2004.0,3,2.0,576.0,5,5,2,0,102,0,0,0,0,3,4,None,0,8,2,WD,Normal,2228.0
20,5,RL,70.0,7560,1,1,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,4,CBlock,4,4,3,3,504.0,6,0.0,525.0,1029.0,GasA,4,1,SBrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,3,6,2,0,3,Attchd,1958.0,3,1.0,294.0,5,5,2,0,0,0,0,0,0,3,2,None,0,7,3,COD,Abnorml,2368.0
21,10,RL,101.0,14215,1,1,0,Lvl,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,8,4,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,2,4,PConc,0,4,0,6,0.0,6,0.0,1158.0,1158.0,GasA,0,1,SBrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,2,9,6,1,2,BuiltIn,2005.0,2,3.0,853.0,5,5,2,240,154,0,0,0,0,3,4,None,0,2,0,New,Partial,3534.0
22,8,RM,57.0,7449,1,0,3,Bnk,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,6,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,4,4,3,6,0.0,6,0.0,637.0,637.0,GasA,0,1,FuseF,1108,0,0,1108,0.0,0.0,1,0,3,1,2,6,6,1,2,Attchd,1930.0,3,1.0,280.0,5,5,0,0,0,205,0,0,0,3,0,None,0,8,1,WD,Normal,1745.0
23,5,RL,75.0,9742,1,1,3,Lvl,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,8,4,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,2,4,PConc,2,4,3,6,0.0,6,0.0,1777.0,1777.0,GasA,0,1,SBrkr,1795,0,0,1795,0.0,0.0,2,0,3,1,2,7,6,1,2,Attchd,2002.0,2,2.0,534.0,5,5,2,171,159,0,0,0,0,3,4,None,0,11,2,WD,Normal,3572.0
24,0,RM,44.0,4224,1,1,3,Lvl,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,6,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,PConc,2,4,3,2,840.0,6,0.0,200.0,1040.0,GasA,4,1,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,3,6,6,1,5,Attchd,1976.0,3,2.0,572.0,5,5,2,100,110,0,0,0,0,3,4,None,0,8,1,WD,Normal,2100.0
25,5,RL,72.0,8246,1,1,0,Lvl,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,7,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,2,CBlock,4,4,2,5,188.0,0,668.0,204.0,1060.0,GasA,0,1,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,2,6,6,1,5,Attchd,1968.0,3,1.0,270.0,5,5,2,406,90,0,0,0,0,3,2,None,0,7,4,WD,Normal,2120.0
26,5,RL,110.0,14230,1,1,3,Lvl,Corner,0,NridgHt,Norm,Norm,1Fam,1Story,8,4,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,2,4,PConc,2,4,3,6,0.0,6,0.0,1566.0,1566.0,GasA,0,1,SBrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,2,7,6,1,2,Attchd,2007.0,2,3.0,890.0,5,5,2,0,56,0,0,0,0,3,4,None,0,9,3,WD,Normal,3166.0
27,5,RL,60.0,7200,1,1,3,Lvl,Corner,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,CBlock,4,4,2,1,234.0,5,486.0,180.0,900.0,GasA,4,1,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,2,5,6,0,3,Detchd,2005.0,3,2.0,576.0,5,5,2,222,32,0,0,0,0,3,4,None,0,7,4,WD,Normal,1800.0
28,5,RL,98.0,11478,1,1,3,Lvl,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,8,4,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,2,4,PConc,0,4,3,2,1218.0,6,0.0,486.0,1704.0,GasA,0,1,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,2,7,6,1,2,Attchd,2008.0,2,3.0,772.0,5,5,2,0,50,0,0,0,0,3,4,None,0,7,4,WD,Normal,3408.0
29,5,RL,47.0,16321,1,1,0,Lvl,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,4,4,1,1,1277.0,6,0.0,207.0,1484.0,GasA,4,1,SBrkr,1600,0,0,1600,1.0,0.0,1,0,2,1,3,6,6,2,2,Attchd,1957.0,2,1.0,319.0,5,5,2,288,258,0,0,0,0,3,4,None,0,3,0,WD,Normal,3084.0
30,6,RM,60.0,6324,1,1,0,Lvl,Inside,0,BrkSide,Feedr,RRNn,1Fam,1Story,4,5,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,3,6,0.0,6,0.0,520.0,520.0,GasA,1,0,SBrkr,520,0,0,520,0.0,0.0,1,0,1,1,1,4,6,0,3,Detchd,1920.0,3,1.0,240.0,1,5,2,49,0,87,0,0,0,3,4,None,0,7,2,WD,Normal,1040.0
31,11,C (all),50.0,8500,1,2,3,Lvl,Inside,0,IDOTRR,Feedr,Norm,1Fam,2Story,4,3,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,1,BrkTil,4,4,3,6,0.0,6,0.0,649.0,649.0,GasA,4,0,SBrkr,649,668,0,1317,0.0,0.0,1,0,3,1,3,6,6,0,3,Detchd,1920.0,3,1.0,250.0,5,1,0,0,54,172,0,0,0,3,2,None,0,9,2,WD,Normal,1966.0
32,5,RL,72.0,8544,1,1,0,Lvl,CulDSac,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,3,6,0.0,6,0.0,1228.0,1228.0,GasA,2,1,SBrkr,1228,0,0,1228,0.0,0.0,1,1,3,1,2,6,6,0,3,Attchd,1966.0,3,1.0,271.0,5,5,2,0,65,0,0,0,0,3,2,None,0,8,2,WD,Normal,2456.0
33,5,RL,85.0,11049,1,1,3,Lvl,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,8,4,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,0,4,0,6,0.0,6,0.0,1234.0,1234.0,GasA,0,1,SBrkr,1234,0,0,1234,0.0,0.0,2,0,3,1,2,7,6,0,3,Attchd,2007.0,2,2.0,484.0,5,5,2,0,30,0,0,0,0,3,4,None,0,0,2,WD,Normal,2468.0
34,5,RL,70.0,10552,1,1,0,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,4,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,4,CBlock,4,4,3,5,1018.0,6,0.0,380.0,1398.0,GasA,2,1,SBrkr,1700,0,0,1700,0.0,1.0,1,1,4,1,2,6,6,1,2,Attchd,1959.0,2,2.0,447.0,5,5,2,0,38,0,0,0,0,3,4,None,0,6,4,WD,Normal,3098.0
35,0,RL,60.0,7313,1,1,3,Lvl,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,4,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,0,4,PConc,0,4,3,2,1153.0,6,0.0,408.0,1561.0,GasA,0,1,SBrkr,1561,0,0,1561,1.0,0.0,2,0,2,1,0,6,6,1,2,Attchd,2005.0,0,2.0,556.0,5,5,2,203,47,0,0,0,0,3,4,None,0,10,1,WD,Normal,3122.0
36,10,RL,108.0,13418,1,1,3,Lvl,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,8,4,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,2,4,PConc,0,4,0,6,0.0,6,0.0,1117.0,1117.0,GasA,0,1,SBrkr,1132,1320,0,2452,0.0,0.0,3,1,4,1,2,9,6,1,2,BuiltIn,2004.0,0,3.0,691.0,5,5,2,113,32,0,0,0,0,3,4,None,0,11,0,WD,Normal,3569.0
37,5,RL,112.0,10859,1,1,3,Lvl,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,5,4,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,2,4,3,6,0.0,6,0.0,1097.0,1097.0,GasA,0,1,SBrkr,1097,0,0,1097,0.0,0.0,1,1,3,1,3,6,6,0,3,Attchd,1995.0,3,2.0,672.0,5,5,2,392,64,0,0,0,0,3,4,None,0,8,3,WD,Normal,2194.0
38,5,RL,74.0,8532,1,1,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,4,CBlock,4,4,3,5,1213.0,6,0.0,84.0,1297.0,GasA,2,1,SBrkr,1297,0,0,1297,0.0,1.0,1,0,3,1,3,5,6,1,5,Attchd,1954.0,0,2.0,498.0,5,5,2,0,0,0,0,0,0,3,4,None,0,1,3,WD,Normal,2594.0
39,5,RL,68.0,7922,1,1,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,4,3,2,731.0,6,0.0,326.0,1057.0,GasA,4,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,2,5,6,0,3,Detchd,1953.0,3,1.0,246.0,5,5,2,0,52,0,0,0,0,3,4,None,0,0,4,WD,Abnorml,2114.0
40,15,RL,65.0,6040,1,1,3,Lvl,Inside,0,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,4,PConc,3,2,4,4,0.0,4,0.0,0.0,0.0,GasA,4,0,FuseP,1152,0,0,1152,0.0,0.0,2,0,2,2,1,6,6,0,3,None,0.0,1,0.0,0.0,3,3,0,0,0,0,0,0,0,3,4,None,0,8,2,WD,AdjLand,1152.0
41,5,RL,84.0,8658,1,1,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,4,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,4,CBlock,4,4,3,5,643.0,6,0.0,445.0,1088.0,GasA,0,1,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,3,6,6,1,5,Attchd,1965.0,2,2.0,440.0,5,5,2,0,138,0,0,0,0,3,1,None,0,3,0,WD,Abnorml,2412.0
42,5,RL,115.0,16905,1,1,3,Lvl,Inside,0,Timber,Norm,Norm,1Fam,1Story,5,5,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,4,4,1,1,967.0,6,0.0,383.0,1350.0,GasA,2,1,SBrkr,1328,0,0,1328,0.0,1.0,1,1,2,1,3,5,6,2,2,Attchd,1959.0,2,1.0,308.0,5,5,1,0,104,0,0,0,0,3,4,None,0,9,1,WD,Normal,2678.0
43,14,RL,67.0,9180,1,1,0,Lvl,CulDSac,0,SawyerW,Norm,Norm,1Fam,SFoyer,5,6,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,2,4,0,0,747.0,3,93.0,0.0,840.0,GasA,2,1,SBrkr,884,0,0,884,1.0,0.0,1,0,2,1,2,5,6,0,3,Attchd,1983.0,2,2.0,504.0,5,2,2,240,0,0,0,0,0,3,2,None,0,3,1,WD,Normal,1724.0
44,5,RL,70.0,9200,1,1,0,Lvl,CulDSac,0,CollgCr,Norm,Norm,1Fam,1Story,5,5,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,2,4,0,3,280.0,1,491.0,167.0,938.0,GasA,4,1,SBrkr,938,0,0,938,1.0,0.0,1,0,3,1,3,5,6,0,3,Detchd,1977.0,3,1.0,308.0,5,5,2,145,0,0,0,0,0,3,2,None,0,9,2,WD,Normal,1876.0
45,5,RL,70.0,7945,1,1,3,Lvl,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,4,CBlock,4,4,3,0,179.0,1,506.0,465.0,1150.0,GasA,0,1,FuseA,1150,0,0,1150,1.0,0.0,1,0,3,1,3,6,6,0,3,Attchd,1959.0,2,1.0,300.0,5,5,2,0,0,0,0,0,0,3,4,None,0,7,0,WD,Normal,2300.0
46,0,RL,61.0,7658,1,1,3,Lvl,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,4,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,0,4,PConc,0,4,3,2,456.0,6,0.0,1296.0,1752.0,GasA,0,1,SBrkr,1752,0,0,1752,1.0,0.0,2,0,2,1,0,6,6,1,2,Attchd,2005.0,2,2.0,576.0,5,5,2,196,82,0,0,0,0,3,4,None,0,4,4,WD,Normal,3504.0
47,9,RL,48.0,12822,1,1,0,Lvl,CulDSac,0,Mitchel,Norm,Norm,1Fam,1.5Fin,7,4,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,0,4,3,2,1351.0,6,0.0,83.0,1434.0,GasA,0,1,SBrkr,1518,631,0,2149,1.0,0.0,1,1,1,1,2,6,6,1,0,Attchd,2003.0,2,2.0,670.0,5,5,2,168,43,0,0,198,0,3,4,None,0,10,3,WD,Abnorml,3583.0
48,5,FV,84.0,11096,1,1,3,Lvl,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,4,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,4,PConc,2,4,0,2,24.0,6,0.0,1632.0,1656.0,GasA,0,1,SBrkr,1656,0,0,1656,0.0,0.0,2,0,3,1,2,7,6,0,3,Attchd,2006.0,2,3.0,826.0,5,5,2,0,146,0,0,0,0,3,4,None,0,9,1,WD,Normal,3312.0
49,4,RM,33.0,4456,1,1,3,Lvl,Inside,0,OldTown,Norm,Norm,2fmCon,2Story,4,4,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,3,6,0.0,6,0.0,736.0,736.0,GasA,2,1,SBrkr,736,716,0,1452,0.0,0.0,2,0,2,3,3,8,6,0,3,None,0.0,1,0.0,0.0,3,3,0,0,0,102,0,0,0,3,4,None,0,8,3,New,Partial,2188.0
50,5,RL,66.0,7742,1,1,3,Lvl,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,3,1,763.0,6,0.0,192.0,955.0,GasA,0,1,SBrkr,955,0,0,955,1.0,0.0,1,0,3,1,3,6,6,0,3,Attchd,1966.0,3,1.0,386.0,5,5,2,0,0,0,0,0,0,3,2,None,0,0,1,WD,Normal,1910.0
51,10,RL,64.0,13869,1,1,1,Lvl,Corner,0,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,2,4,0,2,182.0,6,0.0,612.0,794.0,GasA,2,1,SBrkr,794,676,0,1470,0.0,1.0,2,0,3,1,3,6,6,0,3,Attchd,1997.0,0,2.0,388.0,5,5,2,0,75,0,0,0,0,3,4,None,0,9,1,WD,Normal,2264.0
52,9,RM,52.0,6240,1,1,3,Lvl,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,6,5,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,4,4,3,6,0.0,6,0.0,816.0,816.0,GasA,4,1,SBrkr,816,0,360,1176,0.0,0.0,1,0,3,1,3,6,6,1,2,Detchd,1985.0,3,2.0,528.0,5,5,2,112,0,0,0,0,0,3,2,Shed,400,11,0,WD,Normal,1632.0
53,15,RM,110.0,8472,0,1,1,Bnk,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,5,4,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1,4,CBlock,2,4,1,3,104.0,2,712.0,0.0,816.0,GasA,4,0,SBrkr,816,0,0,816,1.0,0.0,1,0,2,1,3,5,6,0,3,CarPort,1963.0,3,2.0,516.0,5,5,2,106,0,0,0,0,0,3,4,None,0,7,4,WD,Normal,1632.0
